West Texas A&M,Northern Arizona
Saint Louis,Dubuque
Southern California,Utah
Utah State,Montana State
Arkansas,Abilene Christian
Brigham Young,San Diego State
California,Santa Clara
Colorado State,Colorado College
Davidson,Elon
Denver,Colorado Mines
Drake,South Dakota State
Duquesne,West Virginia Wesleyan
Eastern Washington,Montana
Iowa State,Northern Iowa
Northern Arizona,New Mexico State
Oklahoma State,Wichita State
Oregon,California-Santa Barbara
Oregon State,Idaho
Richmond,Randolph-Macon
Saint Mary's (CA),Loyola Marymount
Stanford,San Jose State
Texas,Louisiana State
Texas Christian,Kansas
Texas Tech,West Texas A&M
Texas-El Paso,McMurry
UCLA,Washington State
Villanova,Texas A&M
Wake Forest,George Washington
West Virginia,Waynesburg
Auburn,Southern Mississippi
Boston College,Wake Forest
Brigham Young,Pepperdine
Detroit Mercy,Toledo
Kansas,Denver
Nevada,San Jose State
South Carolina,Newberry
Southern California,Oregon State
Arizona,San Diego State
Arizona State,Western State
Arkansas,Texas A&M-Commerce
Army,Villanova
Baylor,Tulsa
California,Navy
Clemson,Presbyterian
Colgate,Buffalo
Colorado State,New Mexico State
Columbia,Rutgers
Cornell,New York University
Drake,Saint Louis
%Duke,North Carolina State
Furman,Washington & Lee
George Washington,Virginia Tech
Georgia,Chattanooga
Georgia Tech,Vanderbilt
%Hardin-Simmons,Cincinnati
Holy Cross,Georgetown
Illinois,Kansas State
Indiana,Wisconsin
Iowa,Marquette
Kentucky,Xavier
Lafayette,Fordham
%Lebanon Valley,Temple
Maryland,Richmond
%Miami (OH),Virginia
Michigan,Michigan State
Minnesota,Washington
Mississippi,Florida
Mississippi State,Tennessee
Muhlenberg,Boston University
Nebraska,Iowa State
New Mexico,Colorado
North Carolina,Texas
Northwestern,UCLA
Notre Dame,Purdue
Ohio State,Missouri
Oregon,Stanford
Rice,Sam Houston State
San Francisco,Saint Mary's (CA)
Santa Clara,Oklahoma
Southern Methodist,Pittsburgh
Texas Christian,Oklahoma State
Texas Tech,Texas A&M
Texas-El Paso,Houston
Tulane,Alabama
Utah,Idaho
Utah State,Montana
Virginia Military Institute,Catawba College
West Texas A&M,Abilene Christian
West Virginia,Wooster
William & Mary,Davidson
Wyoming,Colorado College
Yale,Brown
Duquesne,Alliance
Syracuse,Niagara
Boston College,Georgetown
Chattanooga,Tennessee Tech
Detroit Mercy,Marquette
Miami (FL),Rollins
Missouri,Saint Louis
Pacific Fleet,Brigham Young
South Carolina,Furman
Villanova,Duquesne
Arizona State,Pepperdine
Arkansas,Texas Christian
Army,Lafayette
%Baylor,Mississippi State
Boston University,Scranton
Brown,Princeton
California,Saint Mary's (CA)
Clemson,North Carolina State
Colorado State,Utah State
Cornell,Navy
Florida,Tulsa
Fordham,Merchant Marine
Georgia Tech,Tulane
Harvard,Columbia
Holy Cross,Syracuse
Indiana,Iowa
Iowa State,Kansas State
Kansas,Colorado
Louisiana State,Rice
%Louisiana Tech,Auburn
Maryland,Delaware
Michigan,Oregon
Michigan State,Hawaii
Minnesota,Nebraska
Mississippi,Kentucky
Montana,Pacific (Oregon)
New Mexico State,Fort Bliss
North Carolina,Georgia
North Texas,West Texas A&M
Northern Arizona,San Pedro A.C.
Northern Iowa,Drake
Northwestern,Purdue
Notre Dame,Pittsburgh
Ohio State,Southern California
Oklahoma,Texas A&M
Oklahoma State,Denver
Penn State,Bucknell
Pennsylvania,Dartmouth
Presbyterian,Citadel
Rutgers,Colgate
Santa Clara,Fresno State
Southern Methodist,Texas Tech
Springfield,New York University
%Tennessee,Duke
Texas,New Mexico
UCLA,Idaho
Utah,Arizona
%Vanderbilt,Alabama
Virginia,Virginia Tech
Virginia Military Institute,George Washington
Wake Forest,William & Mary
%Washington,Oregon State
Washington & Lee,Ohio
Washington State,Stanford
West Virginia,Temple
Wichita State,Bradley
Wisconsin,Illinois
Wyoming,Northern Colorado
Yale,Connecticut
Nevada,San Francisco
Alabama,Duquesne
Detroit Mercy,San Francisco
(10) Penn State,Syracuse
Richmond,Furman
Villanova,Miami (FL)
Wichita State,Drake
Arizona,Hardin-Simmons
(5) Army,Illinois
Baylor,(13) Arkansas
Boston University,Colgate
Brown,Rhode Island
(9) California,Wisconsin
Canisius,Fordham
Citadel,Newberry
Clemson,Mississippi State
Colorado,Nebraska
Colorado State,Denver
Columbia,Yale
Cornell,(18) Harvard
Dartmouth,Holy Cross
Duke,Navy
Florida,Auburn
George Washington,Virginia
Georgia,Kentucky
(6) Georgia Tech,Washington & Lee
Iowa,(11) Ohio State
Kansas,Iowa State
Kansas State,Arkansas State
Louisiana State,Texas A&M
Marquette,Saint Louis
Maryland,Virginia Tech
(7) Michigan,(15) Purdue
(13) Mississippi,Vanderbilt
Missouri,(4) Southern Methodist
(19) Nevada,North Texas
New Mexico,New Mexico State
New York University,Brooklyn
(2) North Carolina,Wake Forest
North Carolina State,Davidson
(3) Northwestern,(8) Minnesota
(1) Notre Dame,Michigan State
Oklahoma,(16) Texas
Oregon,Idaho
Oregon State,Portland
(12) Pennsylvania,Princeton
Pittsburgh,West Virginia
Rutgers,Temple
Santa Clara,Stanford
Southern California,Rice
%St. Bonaventure,Boston College
(20) Tennessee,Chattanooga
Texas Christian,(17) Indiana
Texas Tech,Tulsa
Texas-El Paso,West Texas A&M
Tulane,South Carolina
Utah,Brigham Young
Utah State,Arizona State
Washington,UCLA
Washington State,Montana
William & Mary,Virginia Military Institute
Wyoming,Idaho State
Boston College,Villanova
Chattanooga,Presbyterian
Kansas,George Washington
Miami (FL),Detroit Mercy
Saint Louis,Rockhurst
Santa Clara,Loyola Marymount
Texas-El Paso,Brigham Young
Arizona State,Northern Arizona
(5) Army,Harvard
(19) Baylor,Texas Tech
Boston University,Temple
Brown,Holy Cross
(6) California,Oregon State
Colorado State,Wyoming
(13) Cornell,Syracuse
Dartmouth,Colgate
Davidson,Citadel
Drake,Bradley
(18) Duke,Maryland
Florida,Rollins
Fordham,St. Francis (Pennsylvania)
Georgetown,Tulsa
(16) Georgia,Louisiana State
(7) Georgia Tech,Auburn
Hardin-Simmons,New Mexico
Iowa State,Colorado
(4) Michigan,(3) Northwestern
Michigan State,Arizona
(11) Minnesota,Illinois
Mississippi State,Cincinnati
(12) Missouri,Navy
Montana,Montana State
(1) North Carolina,North Carolina State
(2) Notre Dame,Nebraska
Ohio State,Indiana
(20) Oklahoma,Kansas State
Oklahoma State,San Francisco
Oregon,Southern California
(9) Penn State,West Virginia
(8) Pennsylvania,Columbia
Pittsburgh,Marquette
Purdue,Iowa
Rutgers,Princeton
(14) Southern Methodist,Rice
Stanford,UCLA
Sul Ross State,New Mexico State
Tennessee,Alabama
Texas,Arkansas
Texas Christian,Texas A&M
Tulane,(10) Mississippi
Utah,Denver
Vanderbilt,Kentucky
Virginia,Washington & Lee
Virginia Military Institute,Richmond
Wake Forest,Duquesne
Washington State,Washington
West Texas A&M,Midwestern Texas State
Wichita State,Utah State
William & Mary,Virginia Tech
%Wofford,Furman
Yale,Wisconsin
(17) Nevada,Saint Mary's (CA)
(14) Clemson,South Carolina
Boston University,New York University
Detroit Mercy,Wayne State
Georgetown,Fordham
Georgia,Miami (FL)
Alabama,Mississippi State
(5) Army,(12) Cornell
Baylor,Texas A&M
Brown,Connecticut
(4) California,Washington
Colgate,Holy Cross
Colorado,Kansas State
Dartmouth,Harvard
%Davidson,Wofford
Drake,Colorado State
(15) Duke,Virginia Tech
Furman,Citadel
(6) Georgia Tech,Florida
Idaho,Montana
Illinois,Purdue
Kansas,Nebraska
Kentucky,Marquette
Maryland,George Washington
(1) Michigan,(13) Minnesota
%(19) Michigan State,(8) Penn State
(20) Mississippi,Boston College
(9) Missouri,Iowa State
(15) Nevada,Tulsa
(3) North Carolina,Louisiana State
North Carolina State,Chattanooga
Northern Arizona,Redlands
(10) Northwestern,Syracuse
(2) Notre Dame,Iowa
Ohio State,Wisconsin
(18) Oklahoma,Texas Christian
Oklahoma State,Temple
Oregon,Washington State
Oregon State,UCLA
(7) Pennsylvania,Navy
Pittsburgh,Indiana
Princeton,Columbia
Richmond,Hampden-Sydney
Rutgers,Lehigh
Saint Mary's (CA),Denver
Southern California,Stanford
(11) Southern Methodist,Santa Clara
St. Bonaventure,William & Mary
Tennessee,Tennessee Tech
Texas,Rice
Texas A&M-Commerce,West Texas A&M
Texas Tech,Arizona
Texas-El Paso,New Mexico
(17) Tulane,Auburn
Utah,Wyoming
Utah State,Brigham Young
Vanderbilt,Yale
Virginia,Virginia Military Institute
West Virginia,Washington & Lee
Dayton,Saint Louis
(13) Clemson,Boston College
Maryland,Miami (FL)
New Mexico State,New Mexico Highlands
Vanderbilt,Auburn
Villanova,Detroit Mercy
Arizona,Arizona State
Arkansas,Texas A&M
(5) Army,Virginia Tech
(20) Baylor,Texas Christian
Boston University,Syracuse
Brigham Young,Montana
Brown,Rutgers
(4) California,Southern California
Chattanooga,Evansville
Citadel,Erskine
Colorado State,Colorado Mines
Cornell,Columbia
Dartmouth,Yale
%Denver,Georgetown
Drake,Emporia State
Florida,Furman
Fresno State,New Mexico
(18) Georgia,Alabama
(6) Georgia Tech,Duke
%Hardin-Simmons,Texas-El Paso
Harvard,Holy Cross
Iowa,Wisconsin
Kansas,Oklahoma State
Kentucky,Cincinnati
Lafayette,George Washington
(1) Michigan,Illinois
(17) Michigan State,Oregon State
(15) Minnesota,Indiana
Mississippi,Louisiana State
(8) Missouri,Kansas State
(10) Nevada,Oklahoma City
New York University,Lehigh
(3) North Carolina,Tennessee
(9) Northwestern,Ohio State
(2) Notre Dame,Navy
Ohio,Duquesne
(16) Oklahoma,Iowa State
(14) Oregon,Saint Mary's (CA)
(12) Penn State,Colgate
(7) Pennsylvania,Washington & Lee
Pittsburgh,Western Reserve
Princeton,Virginia
Purdue,Marquette
Rice,Texas Tech
(11) Southern Methodist,(20) Texas
St. Bonaventure,Saint Louis
Stanford,Washington
Temple,Bucknell
(19) Tulane,Mississippi State
%Tulsa,Wichita State
UCLA,Nebraska
Utah,Colorado
Utah State,Wyoming
Virginia Military Institute,Davidson
Wake Forest,North Carolina State
Washington State,Idaho
West Texas A&M,Houston
West Virginia,South Carolina
Western State,Northern Arizona
William & Mary,Richmond
Santa Clara,San Francisco
Arizona State,New Mexico State
Miami (FL),Cincinnati
San Francisco,Loyola Marymount
San Jose State,Brigham Young
Alabama,Southern Mississippi
Arizona,New Mexico
(4) Army,Stanford
Boston University,Fordham
Brown,Western Reserve
(5) California,UCLA
(12) Clemson,Furman
Colorado,Utah State
Cornell,Colgate
Dartmouth,Columbia
Denver,Detroit Mercy
George Washington,Citadel
Georgetown,New York University
(13) Georgia,Florida
Hardin-Simmons,Oklahoma City
Holy Cross,Duquesne
Idaho,Montana State
Illinois,Iowa
Iowa State,Drake
Maryland,South Carolina
(2) Michigan,Navy
(17) Michigan State,Marquette
(19) Minnesota,Purdue
Mississippi,Chattanooga
Mississippi State,Auburn
Nebraska,Kansas State
Northern Arizona,La Verne
(10) Northwestern,Wisconsin
(1) Notre Dame,Indiana
Ohio State,Pittsburgh
(15) Oklahoma,(9) Missouri
Oklahoma State,Tulsa
(16) Oregon,Washington
%Oregon State,Washington State
Pacific,Montana
(14) Penn State,(7) Pennsylvania
Princeton,Harvard
Rice,Arkansas
Richmond,Davidson
Rutgers,Lafayette
Saint Mary's (CA),Portland
(8) Southern Methodist,Texas A&M
Temple,Syracuse
Tennessee,(6) Georgia Tech
Texas,Baylor
Texas Tech,Texas-El Paso
(20) Tulane,Virginia Military Institute
Utah,Colorado State
Vanderbilt,Louisiana State
%Villanova,Kentucky
Virginia,North Carolina State
(18) Wake Forest,Duke
Washington & Lee,Virginia Tech
West Virginia,Ohio
Wichita State,Saint Louis
%William & Mary,(3) North Carolina
Yale,Merchant Marine
Santa Clara,(11) Nevada
Hardin-Simmons,West Texas A&M
(16) Nevada,Fresno State
Loyola Marymount,Arizona State
Miami (FL),Chattanooga
New Mexico State,Fort Hays State
(15) Oregon,UCLA
Alabama,(11) Georgia Tech
(3) Army,(17) Pennsylvania
(4) California,Washington State
(10) Clemson,(19) Wake Forest
Colgate,Syracuse
Columbia,Navy
Cornell,Dartmouth
Denver,Utah State
Drake,New Mexico
Duke,George Washington
(13) Georgia,Auburn
Harvard,Brown
Holy Cross,Fordham
Idaho,Portland
Kansas,Kansas State
Kentucky,Florida
Miami (OH),Wichita State
(1) Michigan,Indiana
(12) Michigan State,Iowa State
(14) Minnesota,Iowa
Mississippi,(18) Tennessee
Mississippi State,Louisiana State
(20) Missouri,Colorado
(6) North Carolina,Maryland
(2) Notre Dame,(8) Northwestern
Ohio State,Illinois
(9) Oklahoma,Nebraska
Pacific,San Francisco
(5) Penn State,Temple
Pepperdine,Northern Arizona
Pittsburgh,Purdue
Princeton,Yale
Rice,Texas A&M
Rutgers,New York University
Santa Clara,Saint Mary's (CA)
South Carolina,Tulsa
Southern California,Washington
(7) Southern Methodist,Arkansas
Stanford,Montana
Texas,Texas Christian
Texas-El Paso,Arizona
Tulane,Baylor
%Utah,Oregon State
Vanderbilt,Marshall
Villanova,Georgetown
Virginia,West Virginia
Virginia Military Institute,Citadel
%Virginia Tech,Richmond
Washington & Lee,Davidson
%William & Mary,Boston College
Wisconsin,Marquette
Wyoming,Montana State
Detroit Mercy,Saint Louis
Colorado State,Brigham Young
North Carolina State,Duquesne
Western State,New Mexico State
Arizona,Iowa State
Arkansas,Tulsa
Boston College,Saint Mary's (CA)
Brigham Young,Wyoming
Brown,Colgate
(4) California,Stanford
(9) Clemson,Duquesne
Colorado State,Colorado
Columbia,Syracuse
Dartmouth,Princeton
Florida,Miami (FL)
George Washington,Georgetown
(11) Georgia,Furman
(20) Georgia Tech,Citadel
Hardin-Simmons,Arizona State
Harvard,Yale
Holy Cross,Temple
Iowa,Boston University
%Kentucky,Tennessee
Louisiana State,Alabama
Marquette,South Dakota
(1) Michigan,(18) Ohio State
(12) Michigan State,Washington State
(15) Minnesota,Wisconsin
Missouri,Nebraska
Montana,North Dakota
New York University,Merchant Marine
(5) North Carolina,Duke
(7) Northwestern,Illinois
(8) Oklahoma,Kansas
Oklahoma State,Kansas State
(13) Oregon,Oregon State
Pittsburgh,(6) Penn State
Purdue,Indiana
Rice,Texas Christian
Rutgers,Fordham
Saint Louis,Missouri-Rolla
Southern California,UCLA
(10) Southern Methodist,Baylor
Texas Tech,New Mexico
(14) Tulane,Cincinnati
Vanderbilt,Maryland
Villanova,San Francisco
Washington,Idaho
Washington & Lee,Delaware
West Virginia,Western Reserve
Wichita State,Southwestern (Kansas)
William & Mary,North Carolina State
Chattanooga,Dayton
Cornell,(19) Pennsylvania
Missouri,Kansas
Nevada,Wichita State
Richmond,Washington & Lee
Saint Louis,Kansas State
St. Bonaventure,San Francisco
%Texas A&M,Texas
Texas-El Paso,New Mexico State
Utah,Utah State
Virginia Military Institute,Virginia Tech
Wake Forest,South Carolina
Brigham Young,Arizona State
Kentucky,Miami (FL)
Saint Mary's (CA),San Jose State
Alabama,Florida
Arizona,Marquette
Boston College,Holy Cross
(9) Clemson,Auburn
Davidson,Furman
Denver,Wyoming
Detroit Mercy,Tulsa
Fordham,New York University
(12) Georgia,Georgia Tech
%(11) Michigan State,Santa Clara
(16) Mississippi,Mississippi State
%Navy,(3) Army
(4) North Carolina,Virginia
(2) Notre Dame,Washington
(6) Oklahoma,Oklahoma State
Oregon State,Nebraska
(18) Penn State,Washington State
%Rice,Baylor
%Texas Christian,(8) Southern Methodist
Texas Tech,Hardin-Simmons
(14) Tulane,Louisiana State
(15) Vanderbilt,Tennessee
Villanova,North Carolina State
West Texas A&M,New Mexico
West Virginia,Maryland
Whittier,Northern Arizona
(20) William & Mary,Arkansas
(15) Vanderbilt,Miami (FL)
Alabama,Auburn
(9) Clemson,Citadel
%(2) Notre Dame,Southern California
San Diego State,Utah State
Texas-El Paso,Hawaii
West Texas A&M,Texas A&M-Corpus Christi
%Richmond,Rollins
%Hardin-Simmons,Pacific
Arizona State,New Mexico
Nevada,Hawaii
Hardin-Simmons,Ouachita
Hardin-Simmons,Wichita State
Baylor,Wake Forest
(9) Clemson,Missouri
Drake,Arizona
(7) Northwestern,(5) California
Occidental,Colorado State
(6) Oklahoma,(4) North Carolina
Oregon State,Hawaii
(8) Southern Methodist,(10) Oregon
%Sul Ross State,Murray State
Texas,(12) Georgia
Villanova,Nevada
West Virginia,Texas-El Paso
(20) William & Mary,Oklahoma State
